33,PHARMAVIE,"kayitesi.agathe@yahoo.fr, pharmavieltd18@gmail.com","""+250781888165/788308765",Dispensing Medicines,NYARUGENGE
34,AXIS PHARMACY,axispharmacy.pharmacy@gmail.com,+250783570602,Dispensing Medicines,NYARUGENGE
35,PHARMACIE NOVA,novanovapharma@gmail.com,+250788457824,Dispensing Medicines,KICUKIRO
36,IHIRWE PHARMACY,,+250788639779,Dispensing Medicines,NYARUGENGE
37,MASOPHAR PHARMACY,nangeus2000@yahoo.fr,+250786096879,Dispensing Medicines,MUHIMA
38,THE SPECIALIST PHARMACY,thespecialistpharma@gmail.com,0250785023348,Dispensing Medicines,KIMIRONKO
39,ABIRWA PHARMACY ,abirwapharmacy@yahoo.com,+250782553288,Dispensing Medicines,KACYIRU
40,EXODUS PHARMACY,exoduspharma@yahoo.fr,+250788487708,Dispensing Medicines,REMERA
41,LYDDA PHARMACY,lyddapharmacie@gmail.com,+250788511274,Dispensing Medicines,KANOMBE
42,PHARMAMED,pharmacypharmamed@gmail.com,+250788650220,Dispensing Medicines,KABEZA
43,MENIPHAR PHARMACY,menipharkabeza2012@gmail.com,+250788771881,Dispensing Medicines,KABEZA
44,PHARMACIE CONTINENTALLE,pharma.continentale@gmail.com,+250788622221,Dispensing Medicines,REMERA
45,STRONG MEDICA PHARMACY,Strong-medica01@gmail.com,+25078380502,Dispensing Medicines,NYARUGENGE
46,MUHIRE PHARMACY,phmuhire@gmail.com,+250788452718,Dispensing Medicines,NYARUGENGE
47,MARANATHA PHARMACY,habyadam@yahoo.fr,+250788649553,Dispensing Medicines,KACYIRU
49,G-NOVA PHARMACY,gnovapharmacy@gmail.com,(+250)782895802,Dispensing Medicines,NYARUGENGE
50,BETHZATHA PHARMACY,,,Dispensing Medicines,NYARUGENGE
51,PHARMA LIFE,,,Dispensing Medicines,NYARUGENGE
52,PENIEL PHARMACY,penielpharmacy2012@gmail.com,(+250)788626230,Dispensing Medicines,NYARUGENGE
53,TRESOR PHARMACY,rwekazagad@yahoo.fr,(+250)788505646,Dispensing Medicines,NYARUGENGE
54,ITOTO PHARMACY,,,Dispensing Medicines,NYARUGENGE
55,FIDELE PHARMACY,,,Dispensing Medicines,NYARUGENGE
56,BRIELLA PHARMACY,,,Dispensing Medicines,REMERA
57,CYIZA PHARMACY,,,Dispensing Medicines,KICUKIRO
58,TERRANOVA PHARMACY,,,Dispensing Medicines,KICUKIRO
59,GOAL PHARMACY,,,Dispensing Medicines,
60,IREME PHARMACY,uwambayingabirea@gmail.com,(+250)785532711,Dispensing Medicines,KANOMBE
61,KEYSTONE PHARMACY,pharmakeystone2017@gmail.com,(+250)788543735,Dispensing Medicines,NYAMIRAMBO
62,NEZA PHARMACY,nezapharmacy@gmail.com,(+250)788676607,Dispensing Medicines,NYARUGENGE
63,TRAMED PHARMACY,kaberatha@yahoo.fr,(+250)788301960,Dispensing Medicines,BIRYOGO
64,PHARMEDICA PHARMACY,,(+250)788534131,Dispensing Medicines,NYARUGENGE
65,KARO PHARMACY,karopha2005@yahoo.fr,,Dispensing Medicines,KIYOVU
66,RITE PHARMACY,ritepharmacy2013@gmail.com,(+250)788697968,Dispensing Medicines,KABEZA
67,PHARMACIE DU CALME,munyeshyakakaeric@gmail.com,(+250)788346700,Dispensing Medicines,KIBAGABAGA
68,NOBILIS PHARMACY,,,Dispensing Medicines,GASABO
69,DANIA PHARMACY,ruthuwizeyimana82@gmail.com,(+250)785272091/0786899370,Dispensing Medicines,GATENGA
70,NEW HOPE PHARMACY,newhope.pharmacy@gmail.com,(+250)783106658,Dispensing Medicines,GASABO
71,PHARMACIE ROYALE,royale.pharmacy@yahoo.com,(+250)782961033,Dispensing Medicines,KIMIRONKO
72,GOODNESS PHARMACY,7peterclaver@gmail.com,(+250)787555272,Dispensing Medicines,GASABO
73,PFG PHARMACY,pfgpharmacymd@gmail.com/ jbafuruka2016@gmail.com,(+250)738300192,Dispensing Medicines,KICUKIRO
74,PARAVINA PHARMACY,paravina2019@gmail.com,(+250)788312569,Dispensing Medicines,GASABO
75,SAFECARE PHARMACY,safecarepharma1@gmail.com,(+250)781293423,Dispensing Medicines,NYARUGENGE
76,ALAMANDA PHARMACY,alamandapharmacy@yahoo.com,(+250)788611224,Dispensing Medicines,KICUKIRO
77,PHARMACIE DU PROGRES,pharmacieduprogres@gmail.com,(+250)788463839,Dispensing Medicines,KICUKIRO
78,CHALOM PHARMACY,chalompharmacyltd@gmail.com,(+250)789579539,Dispensing Medicines,KICUKIRO
79,BONA CURATIO NGOMA,ryumugabej@yahoo.fr,+250788419939,Dispensing Medicines,NGOMA
80,INITIATIVE PHARM RWAMAGANA,initiativepharmaltd@gmail.com,+250788557758,Dispensing Medicines,RWAMAGANA
81,THE GUARDIAN PHARMACY,theguardianpharmacy@gmail.com,+250786688057,Dispensing Medicines,BUGESERA
82,GRATIS PHARMACY,gratispharmacy@yahoo.fr,+250784489941,Dispensing Medicines,KAYONZA
83,SAINTE THERESA PHARMACY,mizeroany@yahoo.fr,+250788620365,Dispensing Medicines,KAYONZA
84,EMMA SANITAS PHARMACY,,,Dispensing Medicines,BUGESERA
85,TOTAL HEALTH SOLUTIONS PHARMACY,,,Dispensing Medicines,RWAMAGANA
86,SALVIA PHARMACY,,,Dispensing Medicines,NYAMATA
87,TUGANE PHARMACY,tuganepharmarmacy@gmail.com,(+250)789006167,Dispensing Medicines,GAHANGA
88,IKAZE PHARMACY,ikazepharmacy@gmail.com,(+250)786765066,Dispensing Medicines,NYAGATARE
89,PHARMACY CELIA,celiapharmacy@gmail.com,(+250)788831809,Dispensing Medicines,NYAGATARE
90,INGENZI PHARMACY,uwamour@yahoo.fr,(+250)788551095,Dispensing Medicines,NGOMA
91,LA VANILLE PHARMACY,lavanillepharmacy@gmail.com,(+250)788615891,Dispensing Medicines,RWAMAGANA
92,REMUCHAT PHARMACY,remuchatpharmacy@gmail.com,(+250)783126618,Dispensing Medicines,NYAGATARE
93,TROJANUS PHARMACY,trojanuspharmacy2017@gmail.com,(+250)787673582,Dispensing Medicines,BUGESERA
94,ADONAI PHARMACY,adonaipharmacy5@gmail.com,(+250)781082525,Dispensing Medicines,RWAMAGANA
95,PHARMACIE BON SAMARITAIN,lebonsamaritain98@gmail.com,0250784484324,Dispensing Medicines,HUYE
96,BONA CURATIO RUYENZI,,+250788527291,Dispensing Medicines,KAMONYI
97,VIVA PHARMACY,vivapharmacy11@gmail.com,+250782172937,Dispensing Medicines,HUYE
98,VICTORY PHARMACY,victorypharmac@yahoo.fr,+250783043793,Dispensing Medicines,HUYE
99,BUPHARMA PHARMACY HUYE,chanum18@yahoo.com,+250788414090,Dispensing Medicines,HUYE
100,PHARMACHOICE,,,Dispensing Medicines,MUHANGA
101,PILLAR PHARMACY,pillarpharmacy2017@gmail.com,(+250)783736990,Dispensing Medicines,MUHANGA
102,SUNRISE PHARMACY,sunrisepharmacy2017@gmail.com,(+250)788528368,Dispensing Medicines,HUYE
103,BESTCHOICE PHARMACY,,,Dispensing Medicines,MUHANGA
104,APIPHARMA PHARMACY,,(+250)788306123,Dispensing Medicines,HUYE
105,IKIREZI PHARMACY,,(+250)788568940,Dispensing Medicines,MUHANGA
106,VIEPHARMA PHARMACY,viepharmapharmacy2016@gmail.com,(+250)788690137,Dispensing Medicines,KAMONYI
107,FIDELITY PHARMACY,fidelityphcyltd@gmail.com,(+250)788412466,Dispensing Medicines,NYAMAGABE
108,INITIATIVE PHARMACY NYANZA,initiativepharmaltd@gmail.com,(+250)783556149,Dispensing Medicines,NYANZA
109,LAGO PHARMACY,lagopharmacy@yahoo.fr,+250788741201,Dispensing Medicines,RUBAVU
110,BIMOPHAR,bimenyimartin@yahoo.fr,+250788698603,Dispensing Medicines,RUSIZI
111,INGENZI PHARMACY,uwamour@yahoo.fr,+250788551095,Dispensing Medicines,RUBAVU
112,FEEL BETTER PHARMACY,feelbetterpharmacy@gmail.com,+250785666429,Dispensing Medicines,KARONGI
113,LILAC PHARMACY,lilacpharmacie@gmail.com,(+250)788623224,Dispensing Medicines,KARONGI
114,KIVUBEACH PHARMACY,kivubeachpharmacy@gmail.com,(+250)789917171,Dispensing Medicines,RUBAVU
115,VINCA PHARMACY,mumalik12@gmail.com,(+250)788455565,Dispensing Medicines,RUBAVU
116,MUHIRE PHARMACY/RUBAVU,phmuhire@gmail.com,(+250)788452718,Dispensing Medicines,RUBAVU
117,PHARMACIE IRAGUHA,iraguhapharmacie@gmail.com,+250783117737,Dispensing Medicines,MUSANZE
118,PHARMACIE EPHAR,,+250788568004,Dispensing Medicines,MUSANZE
119,HIGH MAGNIFICAT PHARMACY,hmagnificatpharma@gmail.com,+250788565308,Dispensing Medicines,MUSANZE
120,BONIPHARMA PHARMACY,,,Dispensing Medicines,MUSANZE
121,RIGHT 2030 PHARMACY,,,Dispensing Medicines,MUSANZE
122,PHARMACIE DE BYUMBA,,(+250)788649265,Dispensing Medicines,GICUMBI
123,ROYALCARE PHARMACY,royalcarepharmacy20@gmail.com,(+250)788479210,Dispensing Medicines,BUTARO
124,ACCESS PHARMACY,Accesspharmacy@gmail.com,(+250)788851754,Dispensing Medicines,GICUMBI
125,CARITATE PHARMACY,caritatepharmacy@gmail.com,(+250)780292045,Dispensing Medicines,GICUMBI
126,STE ODA PHARMACY,pharmaoda1@gmail.com,(+250)781260578,Dispensing Medicines,RULINDO
127,ANGE DIVINE PHARMACY,,(+250)783828438,Dispensing Medicines,RULINDO
128,GOLF PHARMACY,,(+250)788299909,Dispensing Medicines,KICUKIRO
129,ISONGA PHARMACY,pharmaisonga@gmail.com,(+250)789601716,Dispensing Medicines,HUYE
130,KUMERA PHARMACY,andrea@mpharma.com,(+250)790801829,Dispensing Medicines,GASABO
131,FLEURI PHARMACY,,(+250)788479307,Dispensing Medicines,MUHANGA
132,MUNA PHARMACY,munaltd0@gmail.com,(+250)788636570,Dispensing Medicines,RWAMAGANA
133,LA PREFERENCE PHARMACY,,(+250)788411838,Dispensing Medicines,HUYE
134,PHARMAPAX PHARMACY,pharmapaxpharmacy20@gmail.com,(+250)784401545,Dispensing Medicines,RUSIZI
135,LA CHARITE PHARMACY,,(+250)788625191,Dispensing Medicines,MUHANGA
136,AROME PHARMACY,pharmacyarome@gmail.com,(+250)788296204,Dispensing Medicines,MUHANGA
137,KINDNESS PHARMACY,kindnesspharmacy@yahoo.fr,(+250)785601737,Dispensing Medicines,KARONGI
138,IRAKIZA PHARMACY,,(+250)784017361,Dispensing Medicines,NYABIHU
139,PANACEA PHARMACY,panaceapharmmacy@gmail.com,(+250)788649234,Dispensing Medicines,KIGARAMA
140,MEDPLUS PHARMACY,medpluspharmacy04@gmail.com,(+250)788533474,Dispensing Medicines,NYAMIRAMBO
141,ELDORADO PHARMACY,,(+250)783615532,Dispensing Medicines,NYARUGENGE
142,HOLISTIC PHARMACY,kumutoni29@gmail.com,(+250)783121401,Dispensing Medicines,NYAGATARE
143,SUCCESS PHARMACY,,(+250)781535418,Dispensing Medicines,KIRAMURUZI
144,TUMA PHARMACY,tumapharmacy@gmail.com,(+250)788487418,Dispensing Medicines,NYAMATA
145,CLOUDS PHARMACY,,(+250)788855467,Dispensing Medicines,NYARUGENGE
146,RINDA PHARMACY,,(+250)788799311,Dispensing Medicines,
147,OMNICARE PHARMACY,omnicarepharmacyltd@gmail.com,(+250)789635153,Dispensing Medicines,GASABO
148,IGIHOZO PHARMACY,igihozophar@gmail.com,(+250)784461716,Dispensing Medicines,GASABO
149,AVANA PHARMACY,avapharmacy2020@gmail.com,(+250)785016824,Dispensing Medicines,KAYONZA
150,JIDE PHARMACY,,(+250)785615250,Dispensing Medicines,NIBOYE
151,AMAYA PHARMACY,pharmacyamaya@yahoo.fr,(+250)788456665,Dispensing Medicines,GISOZI
152,BONITAS DEI PHARMACY,bonitasdei.pharmacy@gmail.com,(+250)788669080,Dispensing Medicines,KAGUGU
153,UWABENA PHARMACY,ronnierwasa@yahoo.com,(+250)784155242,Dispensing Medicines,KAGUGU
154,HEALTHLINK PHARMACY,healthlinkpharmacyltd2020@gmail.com,(+250)788319030,Dispensing Medicines,NYARUGENGE
155,YES PHARMACY,yespharmacy2020@gmail.com,(+250)783857499,Dispensing Medicines,KINYINYA
156,UMUCYO NA GIRUBUZIMA,,(+250)785486361,Dispensing Medicines,RUHANGO
157,TRINITAS PHARMACY,trinitas pharmakeystone2017@gmail.com,(+250)788687434,Dispensing Medicines,HUYE
158,HELPHARM PHARMACY,helpharmaltd@gmail.com,(+250)788284706,Dispensing Medicines,MUHANGA
159,MEDPOINT PHARMACY,medpointpharmacyltd@gmail.com,(+250)783734461,Dispensing Medicines,KICUKIRO
160,PHARMABEST PHARMACY,pharmabest.info@gmail.com,(+250)788480022,Dispensing Medicines,REMERA
161,WESTERN PHARMACY,,(+250)783869757,Dispensing Medicines,RUBAVU
162,DELIZA PHARMACY,delizapharmacy@gmail.com,(+250)783263952,Dispensing Medicines,KIMISAGARA
163,ALCRESTA PHARMACY,crestapharmacy87@gmail.com,(+250)788805085,Dispensing Medicines,NYAMATA
164,VITA GRATIA PHARMACY,vitagratia.pharmacy@gmail.com,(+250)788454337,Dispensing Medicines,KICUKIRO
165,MAX PHARMACY ,maxpharmacy2019@gmail.com,(+250)783020584,Dispensing Medicines,RUSIZI
166,UPENDO PHARMACY,upendopharmacy2021@gmail.com,(+250)783020584,Dispensing Medicines,RUSIZI
167,TRINITY PHARMACY,vidabesong@yahoo.com,(+250)788358068/ +250787965794,Dispensing Medicines,KIBAGABAGA
168,MARY PHARMACY,"mukamarie1984@gmail.com, innohabazaza@gmail.com",(+250)788917617,Dispensing Medicines,RUHANGO
169,ADAMSON PHARMACY,exoduspharma@yahoo.fr,0788487708,Dispensing Medicines,REMERA
170,DENA PHARMACY,denapharmacyltd@gmail.com,0788406475,Dispensing Medicines,GASABO
171,MIRRA PHARMACY,pharmacymirra@gmail.com,0786730404,Dispensing Medicines,KICUKIRO
172,PHARMACIE DUPHAR,pharmacieduphare2021@gmail.com,0783318099,Dispensing Medicines,KICUKIRO
173,PHARMACY PLUS,info.pharmacyplus@gmail.com,,Dispensing Medicines,NYAGATARE
174,ELIOT PHARMACY,eliotpharmacy2021@gmail.com,"""0784027856",Dispensing Medicines,NYAGATARE
175,TERCERA PHARMACY,tercerapharma@gmail.com,0788318062,Dispensing Medicines,GASABO
176,MANZI PHARMACY,manjacque1@gmail.com,"""0788724751",Dispensing Medicines,NYAGATARE
177,UBWUZU PHARMACY,hygrestha@yahoo.fr,'+250783219180',Dispensing Medicines,
178,BLESSING PHARMACY LTD,blessingpharmacyltd@gmail.com,"""+250787967806",Dispensing Medicines,MUHANGA
179,STREAM PHARMACY,streampharm44@gmail.com,"""+250782504529",Dispensing Medicines,GASABO
180,TREAH PHARMACY,treahpharmacy@gmail.com,,Dispensing Medicines,RWAMAGA
181,GOOD LIFE PHARMACY*3,jeannette@goodlife.rw,"""+250788283666",Dispensing Medicines,KICUKIRO
182,KAVES PHARMACY,kavestine1@gmail.com,,Dispensing Medicines,GASABO
183,NGABO PHARMACY,ronald.ngabo@gmail.com,,Dispensing Medicines,
184,APOTHECARY PHARMACY,apophar6@gmail.com,,Dispensing Medicines,KICUKIRO
185,TAQWA PHARMACY,taqwapharmacy2020@gmail.com,,Dispensing Medicines,BUGESERA
186,DAYENU PHARMACY,ddayenupharmacy@gmail.com,,Dispensing Medicines,KARONGI
187,UWEVER HOLISTIC PHARMACY,uweverholisticpharmacyltd@gmail.com,,Dispensing Medicines,KARONGI
188,MEDLINK PHARMACY LTD,medlinkpharmacy47@gmail.com,,Dispensing Medicines,RUBAVU
189,JOSALUD PHARMACY,,,Dispensing Medicines,MUSANZE
190,PHARMACY CONCORDE,rugafelex@gmail.com,,Dispensing Medicines,KICUKIRO
191,ATLAS PHARMACY LTD,atlaspharmacykigali@gmail.com,,Dispensing Medicines,NYARUGENGE
192,NIMA PHARMACY,nimapharmacyrw@gmail.com,,Dispensing Medicines,NYARUGENGE
193,HOLY HOME PHARMACY,holyhome73@gmail.com,,Dispensing Medicines,
194,WIWO PHARMACY,insurance@wiwohealthcare.com,,Dispensing Medicines,NYARUGENGE
195,JAYCARE PHARMACY LTD,jaycarepharmacyltd@gmail.com,,Dispensing Medicines,NYANZA
197,AMIZERO PHARMCY,amizeropharmacy123@gmail.com,,Dispensing Medicines,KICUKIRO
198,APOTHECARY PHARMACY,apophar6@gmail.com,,Dispensing Medicines,KICUKIRO
199,TRINITY PHARMACY,trinitypharmacie2020@g,0782588465,Dispensing Medicines,KIBAGABAGA
200,PHARMACIE DIGNE,pharmaciedigne@gmail.com,0788461155/0724791938,Dispensing Medicines,KIBAGABAGA
201,KIBAGABAGA PHARMA,kibagabagapharma@gmail.com,0795361714,Dispensing Medicines,KIBAGABAGA
202,PULSE PHARMACY LTD,pulsepharma123@gmail.com,0799366444,Dispensing Medicines,GACURIRO
203,EXPRESS PHARMACY,pharmacyexpressltd@gmail.com,0798685222,Dispensing Medicines,NYARUTARAMA
204,DOLCE& BELLA PHARMACY,dolcebella.pharmacy@gmail.com,,Dispensing Medicines,REMERA
205,BRUCE PHARMACY,Brucepharmacy2023@gmail.com,0787673201,Dispensing Medicines,KIBAGABAGA
206,EMPIRE PHARMACY,mukamanadine250@gmail.com,0788564261,Dispensing Medicines,BUGESERA
207,PHARMACY MISERCOROLE,misercorole2@gmail.com,0782694404,Dispensing Medicines,NORVEGE
208,JORDAN PHARMACY,Jordanpharma90@gmail.com,,Dispensing Medicines,KICUKIRO
209,BIPA PHARMACY,bipapharmacy@gmail.com,0787487016,Dispensing Medicines,KICUKIRO
210,ELITE PHARMACY,elitepharltd@gmail.com,0784803330,Dispensing Medicines,KICUKIRO
211,UNIKA PHARMACY LTD,unikapharmacy@gmail.com,0780731888/0788804376,Dispensing Medicines,NORVEGE
213,AERIS PHARMACY LTD,aeris.pharmacy@gmail.com,0788533651/0791510178,Dispensing Medicines,GISOZI
214,LA CURA PHARMACY LTD,lacurapharm@gmail.com,0787890304/0785590594,Dispensing Medicines,KIMIRONKO
215,AERI PHARMACY ,aeripharm24@gmail.com,0788985448,Dispensing Medicines,KIMIRONKO
216,VISTA PHARMACY ZINDIRO BRANCH,vistapharmacy01@gmail.com,0783583217,Dispensing Medicines,KIMIRONKO
217,ADVANCED PHARMACY,advapharmacy@gmail.com,0791579424,Dispensing Medicines,GISOZI
218,HERIT PHARMACY,heritpharmacy@gmail.com,0787070327,Dispensing Medicines,GIKONDO
219,ISIMBI PHARMACY,pharmacyisimbi@gmail.com,0783948099/0788301485,Dispensing Medicines,GIKONDO
220,ALLIMED PHARMACY,allimedpharmacy@gmail.com,0795763907,Dispensing Medicines,KIMIRONKO
221,BALSAM PHARMACY,balsampharmacy21@gmail.com,0785864759,Dispensing Medicines,KICUKIRO
222,PHARMACIE IRIS LTD,pharmairisltd@yahoo.com,0788487755,Dispensing Medicines,NYARUGENGE
223,TOP PHARMACY LTD,topharmacypharma@gmail.com,0783876648,Dispensing Medicines,KABEZA
,,,,,
,OPTICAL,,,,
,,,,,
No,Names,E-mail,Phone number,Type of Service,LOCATION
7,NEW LOOK OPTICAL,newlookopti@gmail.com,(+250)788615065,Optical,NYARUGENGE
8,EVERYONE OPTICAL,everyoneoptical@yahoo.com ,(+250)788523845,Optical,KIMIRONKO
11.38888889,HAJEE OPTICAL,hajeeoptical@gmail.com,+250 786 877 770,Optical,NYARUGENGE
20.72222222,BRIGHT OPTICAL LTD,brightoptical2024@gmail.com,,Optical,KIMIRONKO
23.05555556,,,,,
,IMAGING,,,,
,,,,,
No,Names,E-mail,Phone number,Type of Service,LOCATION
1,KIGALI MEDICAL IMAGING & SUPPLIES CENTRE(KMISC),mutesarah@yahoo.com,+250788479420,DIAGNOSTICS,KINAMBA
2,MEDIHEAL DIAGNOSTIC AND FERTILITY CENTER,insurance.kigali@medihealgroup.com,+250788385703,SPECIALIZED CLINIC,KIMIHURURA
3,BWIZA MEDICAL CLINIC,bwizaclinic@gmail.com,(+250)788650220,GENERAL CLINIC&DIAGNOSTIC,NYARUGENGE
4,WIWO SPECIALIZED HOSPITAL,,,GENERAL CLINIC&DIAGNOSTIC,NYARUGENGE
,,,,,
,DENTAL,,,,
,,,,,
No,Names,E-mail,Phone number,Type of Service,LOCATION
1,DR JULIETA B.LUCAS DENTAL CLINIC,drjulietadentalclinic@gmail.com,+250788567141,Dental,NYARUTARAMA
2,FAITH CLINIC,faithclinic5a@gmail.com,+250785094100,Dental,NYARUGENGE
3,UR-CMHSBD(KHI),munarcisse@gmail.com,+250786689121,Dental,NYARUGENGE
4,JUBILEE DENTAL CLINIC,kigali@jubileedentalclinic.com,+250786983100,Dental,KICUKIRO
5,PINEDA DENTAL CLINIC,admin@pinedadentalclinic.com;accountant@pinedadentalclinic.com,+250788564377,Dental,KIYOVU
6,GENTLE DENTAL CLINIC,rwadidier@gmail.com,+250784106487,Dental,GISHUSHU
7,CLINIC DENTAIRE ADA ,cliniquedentaire.ada.ltd@gmail.com,+250788843901,Dental,NYARUTARAMA
8,ADVANCED DENTAL CLINIC ,advanced.dentalkigali@gmail.com,"""+250789313200",Dental,REMERA
9,SMILE DENTAL CLINIC,simledtcl@gmail.com,+250781561097,Dental,RUBAVU
10,CLINIQUE LA FIDELITE,cliniquelafidelite@yahoo.fr,+250783830840,Dental,RUBAVU
11,ABI MOBILE DENTAL CLINIC,,(+250)782319476,Dental,RUBAVU
12,UNITED DENTAL CLINIC,,(+250)785105155,Dental,MUSANZE
13,EBENEZER DENTAL CLINIC,ebenezerstonedentalclinic@gmail.com,(+250)788332273,Dental,MUHANGA
14,URUKUNDO FOUNDATION DENTAL CLINIC,foundationurukundo@yahoo.fr,(+250)784123277,Dental,MUHANGA
15,DENTAL EXPERTS CLINIC,dexclinic@gmail.com,(+250)781279512,Dental,KIMIRONKO
16,3D MUHABURA DENTAL CLINIC,muhabura2024@gmail.com,,Dental,GASABO
17,REHOBOTH DENTAL CLINIC,info@rehobothdentalclinic.rw,,Dental,BIBARE
18,CLINIQUE DENTAIRE LAIT DU NIL,laitdunil2022@gmail.com,,Dental,KIBAGABAGA
19,,,,,
20,,,,,
,CLINICS,,,,
,,,,,
No,Names,E-mail,Phone number,Type of Service,LOCATION
1,ISANGO CLINIC,drhabigera14@yahoo.fr,+250788481226,GENERAL OUTPATIENT CLINIC,NYAMIRAMBO
2,RWANDA DIABETES ASSOCIATION(FRATERNITE),rwandadiabetes@gmail.com,+250788538711,DIABETIC CARE,KINAMBA
3,RAPHA MEDICAL CLINIC,raphamed16@gmail.com,(+250)788679290,GENERAL OUTPATIENT CLINIC,KIMIRONKO
4,ADVANCED MEDICAL DIAGNOSTICS,amdrwanda@gmail.com,+250788774499,LABORATORY,NYARUGENGE
5,CABINET MEDICAL DE PEDIATRIE,ladislashategeka@gmail.com,+250788301596,PAEDIATRY,NYARUGENGE
6,BIO MEDICAL CENTER,mupenziemmy@yahoo.fr,+250788439440,GENERAL CLINIC ,NYARUGENGE
7,IRAMIRO CLINIC,iramiroclinic@gmail.com;iramiroclinic@yahoo.com,+250788404328,GENERAL OUTPATIENT CLINIC;DENTAL AND PHYSIOTHERAPY,KABUGA
8,CABINET MEDICAL VIGILE,rudasingwagj@yaoo.fr,+250788507738,GENERAL OUTPATIENT CLINIC,NYARUGENGE
9,CLINIC D'HARMONY,clinic.harmony@yahoo.fr,+250788500497,"MEDICAL,SURGERY,PAEDIATRY,DENTAL,GYNACOLOGY",NYARUGENGE
10,CENTRE MEDICAL ORKIDE,cmorkide@gmail.com,+250788597077,PHYSIOTHERAPY,REMERA
11,HERITAGE MEDICAL PARK,ericknyota@yahoo.fr,+250783564534,"MEDICAL,SURGERY,PAEDIATRY,DENTAL,GYNACOLOGY",KAGARAMA
12,CLINIC LA NOUVELLE TRIADE,drrusizanajanvier@yahoo.fr,+250788303171,GENERAL OUTPATIENT CLINIC,REMERA
13, CLINIQUE BIEN NAITRE,cliniquebiennaitre@yahoo.fr;cbnrwanda@gmail.com,+250788454647,"MEDICAL,GYNACOLOGY",NYARUGENGE
14,CLINIC MEDICAL SAINTE RITA,drangerita@gmail.com,+250788755770,GENERAL OUTPATIENT CLINIC,KINAMBA
